device,ip_addr,mac_addr,interface,age
dist-rtr01,172.16.252.21,5254.0001.dc0a,GigabitEthernet2,-
dist-rtr01,172.16.252.22,5254.0000.4233,GigabitEthernet2,10
dist-rtr01,172.16.252.25,5254.0018.65c0,GigabitEthernet3,-
dist-rtr01,172.16.252.26,5254.000a.9804,GigabitEthernet3,8
dist-rtr01,172.16.252.1,5254.0004.ffc6,GigabitEthernet4,9
dist-rtr01,172.16.252.2,5254.000b.f226,GigabitEthernet4,-
dist-rtr01,172.16.252.10,5254.000f.7df6,GigabitEthernet5,-
dist-rtr01,172.16.252.9,5254.001b.93fc,GigabitEthernet5,8
dist-rtr01,172.16.252.17,5254.0018.4802,GigabitEthernet6,-
dist-rtr01,172.16.252.18,5254.0010.994b,GigabitEthernet6,12
dist-rtr02,172.16.252.29,5254.0017.9819,GigabitEthernet2,-
dist-rtr02,172.16.252.30,5254.0002.f1b6,GigabitEthernet2,10
dist-rtr02,172.16.252.33,5254.000b.e9cb,GigabitEthernet3,-
dist-rtr02,172.16.252.34,5254.0018.fe4b,GigabitEthernet3,8
dist-rtr02,172.16.252.5,5254.0004.ffc6,GigabitEthernet4,9
dist-rtr02,172.16.252.6,5254.001b.e0af,GigabitEthernet4,-
dist-rtr02,172.16.252.13,5254.001b.93fc,GigabitEthernet5,8
dist-rtr02,172.16.252.14,5254.001c.9430,GigabitEthernet5,-
dist-rtr02,172.16.252.17,5254.0018.4802,GigabitEthernet6,12
dist-rtr02,172.16.252.18,5254.0010.994b,GigabitEthernet6,-
